Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
蒲海清,0000004121,培训,中央党校,,1986.10,1987.02
普朝柱,0000004124,学习,中共云南省委党校,,1951.00,1952.00
钱敏,0000004148,,,,,
钱运录,0000004157,本科,湖北大学,国民经济计划统计系统计学,1963.00,1967.00
强卫,0000004159,进修,山东大学,光学,1976.02,1976.11
强卫,0000004159,学习,北京市化工局职工大学,有机化学试剂,1979.02,1982.08
强卫,0000004159,学习,中国政法大学,政治学,1988.09,1990.07
强卫,0000004159,进修,中央党校,,1995.09,1995.11
强卫,0000004159,研究生,中国科技大学,经济管理,1991.09,1996.11
强卫,0000004159,研究生,中央党校,法学,1995.09,1998.07
秦光荣,0000004180,大专,湖南衡阳师范专科学校,中文,1973.09,1975.08
秦光荣,0000004180,进修,中央党校,,1992.03,1992.07
秦光荣,0000004180,研究生,中南工业大学,管理科学与工程,1993.03,1995.12
全树仁,0000004236,,,,,
任白戈,0000004254,,,,,
任仲夷,0000004279,,,,,
阮崇武,0000004288,学习, 北京工业学院,自然科学,1951.00,
阮崇武,0000004288,学习,北京俄语专科学校,人文科学,1952.00,
阮崇武,0000004288,学习,莫斯科汽车机械学院,自然科学,1953.00,1957.00
邵奇惠,0000004318,学习,浙江省杭州市第二中学,,1952.09,1955.02
邵奇惠,0000004318,本科,哈尔滨工业大学,机械制造,1962.00,1967.00
沈达人,0000004341,,,,,
石秀诗,0000004404,学习,北京建筑工业学院,玻璃陶瓷工艺,1959.09,1964.10
石宗源,0000004408,本科,西北民族学院,政治,1964.09,1968.10
石宗源,0000004408,培训,中央党校,,1985.09,1986.01
石宗源,0000004408,进修,中央党校,,1997.09,1997.11
舒圣佑,0000004437,,,,,
宋宝瑞,0000004447,本科,清华大学,焊接材料及设备,1957.09,1963.09
宋宝瑞,0000004447,研究生,清华大学,焊接,1957.09,1963.09
宋法棠,0000004456,本科,山东曲阜师范学院,汉语言文学,,
宋佩璋,0000004479,,,,,
宋平,0000004480,大专,北平大学农学院、清华大学、西南联合大学,,1934.00,1937.00
宋秀岩,0000004503,培训,中国青年政治学院,政治教育,1985.09,1987.07
宋秀岩,0000004503,学习,中央党校,经济管理,1993.08,1995.12
宋秀岩,0000004503,研究生,中央党校,政治学,1998.09,2001.07
宋秀岩,0000004503,进修,中央党校,,2002.09,2002.12
宋照肃,0000004516,本科,郑州大学,政治系,,
宋照肃,0000004516,培训,中央党校,,1987.03,1987.07
宋照肃,0000004516,培训,中央党校,,1994.09,1994.10
宋照肃,0000004516,培训,中央党校,,1997.03,1997.05
王金山,0000004565,大专,吉林省四平师范专科学校,理化科物理,1964.09,1967.09
王金山,0000004565,进修,中央党校,,1983.09,1984.01
王金山,0000004565,研究生,南开大学,政治经济学,1993.09,1996.04
王金山,0000004565,进修,中央党校,,1995.09,1995.11
王君,0000004590,大专,山西矿业学院,采煤,1974.09,1977.09
王君,0000004590,培训,中央党校,理论学习班,1985.09,1986.01
王君,0000004590,培训,中央党校,,1990.09,1991.01
王君,0000004590,培训,中央党校,,1995.09,1996.07
王君,0000004590,研究生,中央党校,哲学,1995.09,1998.09
王乐泉,0000004609,培训,中央党校,,1983.00,1986.00
王乐泉,0000004609,研究生,中央党校,,,
王茂林,0000004640,进修,上海沪北会计专修班,会计,1951.07,1953.01
王茂林,0000004640,培训,北京煤炭干部学校,采煤,1963.07,1964.01
王茂林,0000004640,培训,中央党校,轮训班,1979.03,1979.11
王茂林,0000004640,培训,中央党校,市长班,1983.10,1983.12
王珉,0000004648,大专,安徽省淮南煤炭学院,电系矿机,1975.09,1978.09
王珉,0000004648,研究生,北京航空学院,机械系机械制造工程,1979.09,1981.12
王珉,0000004648,博士,南京航空学院,机械工程系机械制造,1983.02,1986.04
王珉,0000004648,访问学者,香港理工学院,,1987.09,1989.02
王歧山,0000004693,大专, 西北大学,历史,1973.00,1976.00
王歧山,0000004693,进修,中央党校,,1992.09,1992.11
王谦,0000004696,,,,,
王任重,0000004724,,景县乡村师范学校,,1933.00,
王儒林,0000004735,培训,吉林省直机关第一期青干班,,1975.03,1975.05
王儒林,0000004735,本科,吉林农业大学,农业经济,1980.09,1985.07
王儒林,0000004735,研究生,吉林大学,国民经济计划与管理,1990.08,1993.04
王儒林,0000004735,培训,中央党校,,1996.09,1997.07
王三运,0000004744,大专,贵阳师范学院,汉语言文学,1974.08,
王三运,0000004744,进修,中央党校,,1992.09,1993.01
王三运,0000004744,研究生,中央党校,政治,1998.09,2001.07
王太华,0000004782,本科,江西师范大学,中文系,1965.09,1969.09
王太华,0000004782,培训,中央党校,,1983.09,1985.07
王宪魁,0000004840,学习,华东交通大学,,1981.09,1982.09
王宪魁,0000004840,培训,西南交通大学,铁路运输管理,1982.09,1984.07
王宪魁,0000004840,进修,中央党校,,1998.03,1998.07
王宪魁,0000004840,研究生,中央党校,经济管理,1999.09,2002.07
王宪魁,0000004840,本科,西南交通大学,交通运输专业,2001.09,2003.07
王学军,0000004885,大专,河北工学院,机械制造,1972.04,1975.08
王学军,0000004885,培训,中央党校,,1991.09,1992.07
王学军,0000004885,进修,中央党校,政治,1992.08,1994.12
王学军,0000004885,研究生,中央党校,党的学说与党的建设,1993.09,1996.01
王学军,0000004885,进修,中央党校,,2000.03,2000.07
王云坤,0000004964,本科,天津大学,无线电技术,1961.09,1966.09
王昭,0000004981,,,,,
王兆国,0000004982,本科,哈尔滨工业大学,涡轮机,1961.00,1966.00
王正伟,0000005013,本科,宁夏大学,中文,1978.00,1982.00
王正伟,0000005013,进修,中央党校,,1994.09,1995.01
王正伟,0000005013,博士,中央民族大学,经济学,2000.00,2003.00
王忠禹,0000005043,大专,沈阳轻工业高级职业学校,,1950.00,1953.00
王忠禹,0000005043,培训,中央党校,,1981.00,1982.00
韦纯束,0000005065,,,,,
韦国清,0000005069,,瑞金红军学校,,1932.00,
卫恒,0000005086,学习,中共中央北方局晋冀豫区委党校,,,
卫留成,0000005089,本科,北京石油学院,测井,1965.09,1970.07
卫留成,0000005089,培训,中央党校,,1995.09,1996.07
尉健行,0000005092,,浙江新昌南明小学、新昌中学、天台育青中学、杭州安定中学,,1937.00,1947.00
尉健行,0000005092,大专,大连工学院,机械系机械制造,1949.00,1952.00
尉健行,0000005092,培训,东北工业部有色金属管理局抚顺俄语训练班,,1952.00,1953.00
魏宏,0000005101,培训,长沙铁道兵学院,政治系,1978.03,1979.08
魏宏,0000005101,进修,重庆师专电大,党政管理,1984.09,1986.07
魏宏,0000005101,研究生,西南财经大学,经济系,1996.01,1998.12
魏宏,0000005101,研究生,四川省委党校,经济学,1999.09,2001.07
魏金水,0000005108,,,,,
郑斯林,0000005168,本科,太原工学院,机械系机械制造,1958.09,1963.09
郑斯林,0000005168,学习,中央党校,,1993.03,1993.05
周本顺,0000005235,大专,长春地质学院,石油物探,1972.04,1975.12
周本顺,0000005235,培训,湖南省委党校,,1991.09,1992.01
周本顺,0000005235,研究生,湖南大学,管理工程,1993.09,1996.01
周本顺,0000005235,博士,武汉大学,宪法与行政法学,2005.11,2006.11
周本顺,0000005235,进修,中央党校,,2006.03,2006.07
周伯华,0000005240,大专,湖南株洲粉末冶金学校,稀冶,1965.09,1968.09
周伯华,0000005240,学习,省委党校,,1980.09,1981.10
周伯华,0000005240,培训,中央党校,,1983.09,1986.07
周林,0000005285,,北平宏达学院,,1931.00,
周强,0000005297,本科,西南政法学院,法律系,1978.00,1982.00
周强,0000005297,研究生,西南政法学院,民法,1982.00,1985.00
周强,0000005297,培训,中央党校,,1995.09,1996.07
周强,0000005297,进修,中央党校,,2005.11,2006.01
周兴,0000005323,,入南昌朱德军官教育团,,1927.00,
周永康,0000005336,本科,北京石油学院,地球物理勘探,1961.00,1966.00
周子健,0000005355,学习,抗大、中央党校,,1937.00,
朱镕基,0000005367,本科,清华大学,电机制造,1947.00,1951.00
朱小丹,0000005389,进修,广州宣传函授学院,科学社会主义,1985.09,1987.09
朱小丹,0000005389,培训,中央党校,,1990.09,1991.07
朱小丹,0000005389,研究生,中央党校,经济管理,1995.09,1998.07
朱小丹,0000005389,进修,中央党校,,2004.11,2005.01
赵紫阳,0000005470,,中共冀鲁豫省委党校,,1938.02,
苏荣,0000005506,学习,农业部干部培训班沈阳农学院,,1980.09,1981.01
苏荣,0000005506,培训,吉林省委党校,党政干部培训班,1982.03,1983.10
苏荣,0000005506,培训,中央党校,,1994.03,1994.05
苏荣,0000005506,研究生,吉林大学,国际经济系世界经济,1994.00,1997.00
苏荣,0000005506,进修,中央党校,,2003.03,2003.05
苏树林,0000005509,本科,大庆石油学院,石油地质,1979.09,1983.07
苏树林,0000005509,研究生,哈尔滨工程大学,管理科学与工程,1996.09,1999.03
苏毅然,0000005515,,延安马列主义学院,,,
苏振华,0000005520,,红军大学,,1936.04,
孙春兰,0000005536,本科,辽宁省鞍山工业技术学校,机械,1965.08,1969.11
孙春兰,0000005536,进修,辽宁大学,经济管理,1981.09,1984.09
孙春兰,0000005536,本科,辽宁省委党校,经济管理,1989.05,1991.12
孙春兰,0000005536,培训,中央党校,,1992.09,1993.07
孙春兰,0000005536,研究生,中央党校,政治学,2000.09,2003.07
孙同川,0000005604,本科,西北工业大学,飞机制造,1958.08,1963.08
孙维本,0000005605,高中,,,,
孙文盛,0000005609,大专,山东冶金学院,冶金系有色冶炼,1960.09,1963.08
孙文盛,0000005609,进修,中央党校,,1986.09,1987.01
孙文盛,0000005609,进修,中央党校,,2001.09,2001.11
孙英,0000005621,本科,山西师范学院,历史系,1954.09,1958.06
孙政才,0000005639,本科,山东莱阳农学院,农学,1980.00,1984.00
孙政才,0000005639,研究生,北京市农林科学院、北京农业大学,作物栽培与耕作学,1984.00,1987.00
孙政才,0000005639,访问学者,英国洛桑试验站,,1991.01,1991.07
孙政才,0000005639,博士,中国农业大学,农学,1990.00,1997.00
孙政才,0000005639,培训,中央党校,,2000.00,2001.00
孙政才,0000005639,进修,中央党校,,2006.05,2006.07
孙志刚,0000005640,大专,武汉钢铁学院,炼钢,1973.09,1976.09
孙志刚,0000005640,研究生,上海财经学院,工业经济,1980.09,1983.09
孙志刚,0000005640,博士,武汉大学,政治经济学,1993.07,1997.06
谭震林,0000005680,,,,,
陶铸,0000005756,,,,,
田成平,0000005768,本科,清华大学,给排水,1962.09,1968.02
田凤山,0000005770,大专,解放军西安第二炮兵技术学院,自动控制,,1964.00
铁瑛,0000005801,,抗大一分校,,1939.00,
汪道涵,0000005830,高中,南京中学,,,1932.00
汪道涵,0000005830,,国立交通大学,机械系,1932.00,
汪道涵,0000005830,,光华大学,数理系,,1937.00
汪家道,0000005837,,,,,
汪啸风,0000005847,本科,北京矿业学院,"机械系机械制
造专业",1964.09,1969.09
汪洋,0000005848,学习,中央党校,政治经济学,1979.00,1980.00
汪洋,0000005848,本科,中央党校,党政管理,1989.00,1992.00
汪洋,0000005848,研究生,中国科技大学,管理科学,1993.00,1995.00
汪洋,0000005848,进修,中央党校,,1997.03,1997.05
汪洋,0000005848,进修,中央党校,,2001.09,2001.11
王安顺,0000005856,研究生,南开大学,政治经济学,,
王恩茂,0000005914,学习,延安军政学院、中央党校,,1941.00,
王芳,0000005916,,中共中央山东分局党校,,1945.00,
王国生,0000005955,大专,山东大学,政治学,1981.09,1983.07
王国生,0000005955,本科,山东省委党校,政治学,1997.09,2000.06
王鸿举,0000005972,本科,四川大学,数学系,1963.09,1968.09
王鸿举,0000005972,进修, 中央党校,,1987.02,1987.07
王朝文,0000006024,,贵州省镇远专区干校,,1949.12,1956.08
文敏生,0000006039,,,,,
闻世震,0000006046,本科,大连理工大学,机制,1960.00,1965.00
吴德,0000006078,,北平弘达中学,,,
吴官正,0000006089,本科, 清华大学,热工测量及自动控制,1959.00,1965.00
吴官正,0000006089,研究生,清华大学,热工测量及自动控制,1965.00,1968.00
吴新雄,0000006151,本科,南京化工学院,有机系合成专业,1973.09,1977.01
吴亦侠,0000006161,本科,吉林农业大学,土化系,,1967.00
吴芝圃,0000006177,,,,,
习近平,0000006221,本科,清华大学,基本有机合成,1975.00,1979.00
习近平,0000006221,博士,清华大学,马克思主义理论与思想政治教育,1998.00,2002.00
习仲勋,0000006222,,,,,
夏宝龙,0000006230,进修,天津师范学院,政史系,1975.01,1976.01
夏宝龙,0000006230,本科,天津市河西区职工大学,中文,1980.10,1985.01
夏宝龙,0000006230,培训,中央党校,,1995.09,1996.07
夏宝龙,0000006230,研究生,天津市委党校,马克思主义哲学,1994.09,1997.07
夏宝龙,0000006230,博士,北京大学,政治经济学,1999.09,2002.07
冼恒汉,0000006257,,红四方面军红军大学、保安红军大学、延安抗日军政大学,,,1936.08
向巴平措,0000006259,大专,重庆大学,机械制造,1972.04,1975.10
向巴平措,0000006259,培训,中央党校,,1981.09,1982.07
项南,0000006275,,,,,
肖秧,0000006306,,北京清华大学,,,
谢富治,0000006328,,抗日红军大学 ,,,
熊清泉,0000006402,,国立师范学院,史地系,,
徐守盛,0000006474,学习,合肥农村经济管理干部学院,农经系农业经济,1983.10,1985.07
徐守盛,0000006474,研究生,江苏省委党校,政治经济学,1999.05,2002.10
许仲林,0000006568,大专,解放军测绘学院,无线电专修班,1960.07,1962.07
许仲林,0000006568,培训,中央党校,,1982.09,1983.07
薛驹,0000006576,本科肄业,上海大同大学,,,
阎海旺,0000006621,本科,哈尔滨建筑工程学院,工业与民用建筑,1960.09,1965.09
阎海旺,0000006621,进修,中共中央党校,,1990.03,1990.05
阎红彦,0000006623,,马列学院,,,
杨传堂,0000006674,进修,山东师范大学,中文系,1981.02,1983.01
杨传堂,0000006674,进修,中央党校省部级干部进修班,,1988.03,1988.07
杨传堂,0000006674,本科,中央党校,经济管理,1993.08,1995.12
杨传堂,0000006674,研究生,中国社会科学院,市场经济,1996.04,1998.03
杨传堂,0000006674,进修,中央党校省部级干部进修班,,1996.09,1996.11
杨晶,0000006755,学习,内蒙古大学,汉语言文学,1980.00,1982.00
杨晶,0000006755,培训,内蒙古自治区委党校,经济管理,1985.09,1986.01
杨晶,0000006755,培训,内蒙古自治区委党校党建班,,1988.08,1989.01
杨晶,0000006755,培训,中央党校一年制中青年干部培训班,,1990.09,1991.07
杨晶,0000006755,研究生,中国社会科学院,工业经济管理,1995.00,1998.00
杨晶,0000006755,研究生,中央党校,政治,2002.00,2005.00
杨静仁,0000006758,本科,陕北公学,,1941.00,
杨静仁,0000006758,,,,1941.00,
杨静仁,0000006758,,陕北公学,,1941.00,
杨析综,0000006839,,,,,
杨雄,0000006859,研究生,中国社会科学院,,,1985.07
杨易辰,0000006873,本科,天津法商学院转入中国大学,,,1935.00
杨易辰,0000006873,,延安马列学院,,1938.00,
杨正午,0000006912,大专,,,,
叶飞,0000006957,,,,,
叶飞,0000006957,,,,,
叶飞,0000006957,,,,,
叶剑英,0000006963,,苏联共产主义劳动大学,,1928.00,1930.00
叶连松,0000006968,大专,大连工学院,船舶内燃机,1954.00,1955.00
叶连松,0000006968,本科,上海交通大学,船舶内燃机及动力装置,1955.00,1960.00
叶选平,0000006981,,延安自然科学院,机械系,1941.00,1945.00
叶选平,0000006981,学习,哈尔滨工业大学,,1949.00,1950.00
于明涛,0000007047,本科,东北师范大学,数学,1981.09,1985.07
于伟国,0000007051,本科,中国人民大学,中国文学,1979.09,1983.07
于幼军,0000007057,本科,华东师范大学,政治教育,1980.09,1985.07
于幼军,0000007057,研究生,中山大学,马克思主义哲学,1993.03,1995.08
于幼军,0000007057,博士,中山大学,马克思主义哲学,1996.09,1999.06
俞正声,0000007090,本科,哈尔滨军事工程学院,弹道式导弹自动控制,1963.00,1968.00
袁纯清,0000007107,本科,北京大学,法律,1977.02,1980.01
袁纯清,0000007107,研究生,中国政法大学,政治学,1987.09,1990.07
袁纯清,0000007107,进修,中央党校,,1994.03,1994.05
袁纯清,0000007107,博士,湖南大学,管理科学与工程,1994.09,1997.07
袁纯清,0000007107,博士后,北京大学,理论经济学,1999.04,2001.05
袁任远,0000007127,,湖南法政专门学校,,1918.00,
岳歧峰,0000007144,,,,,
张宝顺,0000007185,本科,中国人民大学,马列主义理论,1982.08,1987.06
张宝顺,0000007185,研究生,吉林大学,国民经济计划与管理,1989.12,1991.12
张勃兴,0000007206,,北平市立高级商科学校,经济管理,1947.00,
张春桥,0000007237,,,,,
张春贤,0000007238,本科,东北重型机械学院,锻压工艺及设备,1976.12,1980.09
张春贤,0000007238,研究生,哈尔滨工业大学,管理科学与工程,1990.03,2002.06
张春贤,0000007238,进修,中央党校,,2000.09,2000.11
张德江,0000007249,本科,延边大学,朝鲜语专业,1972.00,1975.00
张德江,0000007249,留学,朝鲜金日成综合大学,经济,1978.00,1980.00
张德邻,0000007250,本科,清华大学,焊接工艺及设备,,
张德生,0000007251,,,,,
张鼎丞,0000007256,,,,,
张高丽,0000007281,本科,厦门大学,计划统计,1965.00,1970.00
张高丽,0000007281,进修,中央党校,,1990.04,1990.07
张根生,0000007284,,,,,
张国光,0000007310,本科,北京航空学院,高空设备,1963.09,1968.09
张劲夫,0000007451,,,,,
张立昌,0000007492,函授,北京经济函授大学,经济管理,1987.01,1989.01
张立昌,0000007492,大专,天津冶金工业学校,,1958.05,1960.03
张平化,0000007534,,,,,
张庆黎,0000007548,学习,北京农业大学,,1980.08,1981.02
张庆黎,0000007548,大专,中央党校,,1983.09,1985.07
张庆黎,0000007548,,中央党校,,1992.03,1992.07
张庆黎,0000007548,学习,山东省委党校,经济管理,1995.09,1997.12
张庆黎,0000007548,学习,石河子大学,农业经济管理,1999.02,2001.02
张庆黎,0000007548,研究生,中央党校,政治学,2002.09,2005.07
张庆伟,0000007549,本科,西北工业大学,飞机设计,1978.09,1982.08
张曙光,0000007598,,,,,
张文岳,0000007666,,,,,
张吾乐,0000007667,本科,北京钢铁学院,机械系,1955.09,1959.09
张云川,0000007783,本科,哈尔滨军事工程学院,舰艇内燃机,1964.08,1969.07 
张云川,0000007783,学习,中央党校,,1986.02,1986.07 
张云川,0000007783,进修,中央党校,,1994.09,1994.12 
张仲良,0000007820,,,,,
张左已,0000007833,,黑龙江大学,俄语,,1966.09
赵伯平,0000007846,,,,,
赵海峰,0000007875,,,,,
赵克志,0000007910,学习,山东省委党校,,1980.09,1982.07
赵克志,0000007910,学习,中央党校,,1995.09,1996.07
赵克志,0000007910,研究生,中央党校,,1996.07,1998.07
赵乐际,0000007914,本科,北京大学,哲学,1977.00,1980.00
赵乐际,0000007914,研究生,中国社会科学院,货币银行,1996.00,1998.00
赵乐际,0000007914,研究生,中央党校,政治学,2002.00,2005.00
赵寿山,0000007963,,,,,
赵辛初,0000007991,,,,,
赵修,0000007998,,,,,
赵正永,0000008023,学习,中南矿冶学院,金属物理专业,1974.10,1977.08
赵正永,0000008023,培训,中央党校,,1983.09,1985.07
赵正永,0000008023,进修,中央党校,,2002.09,2003.01
赵正永,0000008023,学习,中央党校,,2006.11,2007.01
赵正永,0000008023,研修,美国哈佛大学,,2007.09,2007.12
赵志浩,0000008026,,,,,
白纪年,0000008125,学习,延边示范学校,,,1947.00
白清才,0000008137,,,,,
包叙定,0000008182,,,,,
柴松岳,0000008429,学习,中央党校,,1981.09,1982.08
柴松岳,0000008429,学习,煤炭工业部干部管理学院,企业管理,1984.09,1986.05
柴松岳,0000008429,学习,中央党校,,1996.03,1996.05
陈士能,0000008686,本科,清华大学,工程化学,,
陈郁,0000008829,学习,广州汽车实习学校,,,
陈郁,0000008829,学习,苏联列宁学院,,1931.06,
陈正人,0000008863,,,,,
程潜,0000008918,学习,湖南武备学堂,,1903.00,
程潜,0000008918,学习,日本陆军士官学校,炮科,1907.00,
方志纯,0000009466,,,,,
傅锡寿,0000009590,,,,,
高狄,0000009632,肄业,敦化国民高等学校,,,1945.11
高克林,0000009659,,,,,
顾秀莲,0000009839,,东北公安干部学校,,1953.00,1954.00
顾秀莲,0000009839,,沈阳冶金机械专科学校,机械系,1958.00,1961.00
顾秀莲,0000009839,函授,中央党校,科学社会主义,1997.09,2000.07
关广富,0000009848,,东北财经干部学习,,,
郭影秋,0000009959,,,,,
韩宁夫,0000010032,,山东建设厅电气班,,1930.00,
韩宁夫,0000010032,,济南私立齐鲁中学,,1931.00,
韩宁夫,0000010032,本科,山东大学,,1936.08,
韩宁夫,0000010032,学习,中共北方局党校,,1943.11,1945.09
韩宁夫,0000010032,学习,苏联学习,,1954.12,1956.01
和志强,0000010215,学习,重庆大学,,,1956.00
侯捷,0000010274,学习,北京水利水电学院, 河川枢纽及水电站建筑,1961.00,1966.00
胡继宗,0000010324,,,,,
胡启立,0000010358,学习,北京大学,机械专业,1946.00,1951.00
胡启立,0000010358,学习,五七干校,,1966.00,1972.00
胡昭衡,0000010397,肄业,北京大学,历史系,,1937.00
黄镇东,0000010636,大专,南京航务工程专科学校,数学物理,1960.09,1962.08
黄镇东,0000010636,学习,上海海运学院,财务会计,1962.08,1963.05
黄镇东,0000010636,学习,交通部干部学校,,1980.05,1980.08
黄镇东,0000010636,进修,日本神户港,,1980.09,1980.12
黄镇东,0000010636,学习,河北省委党校,,1982.03,1982.07
黄镇东,0000010636,进修,中央党校,,2001.03,2001.05
黄知真,0000010642,学习,江西苏区列宁师范,,,
姜异康,0000010834,学习,山东师范大学,中文专业,1981.02,1982.12
姜异康,0000010834,学习,中南海业余大学,行政管理,1988.09,1990.07
姜异康,0000010834,研究生,中南工业大学,管理工程,1993.03,1995.12
